route,generic_route,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV DRIP,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
DWELL,other,other,other,other,other,other,other,other,topcal product,oral product,oral product,topial product,injectable product,oral product,oral product,oral product,[oral product],[oral product],[oral product],topical product   (,topical product,topical product,injectable product,injectable product,the route name [dwell] would,the route name [dwell] would,topical product,topical product,topical product,other,other,other,other,injectable product,other,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"[""po"" would be classified as","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"[""po"" would be classified as","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"> ""oral product""","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,the route [po] would be classified,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IM,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,[oral product],other,injectable product,injectable product,injectable product,injectable product,injectable product,other,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
TP,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,injectable product,[oral product],[oral product],"[""oral product""]","[""tp"" would be classified as",[oral product],oral product,topical product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
TP,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,injectable product,topical product,injectable product,[oral product],[oral product],"[""oral product""]",[oral product],[oral product],oral product,topical product,i am ready to assist you. please,injectable product,i am ready to assist you. please,injectable product,injectable product,i would classify [tp] as,topical product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,i am ready to assist. please provide,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
TD,topical product,injectable product,topical product,injectable product,injectable product,topical product,oral product,oral product,topical product,injectable product,injectable product,injectable product,injectable product,topical product,injectable product,injectable product,injectable product,injectable product,[injectable product],injectable product,topical product,topical product,"for the raw route name [td],",injectable product,injectable product,the route name [td] would be,i am ready to assist. please provide,other,other,topical product,topical product,topical product,topical product,topical product,topical product,topical product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IH,inhalant product,inhalant product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,inhalant product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,inhalant product,[oral product],[oral product],[injectable product],injectable product,[oral product],topical product,inhalant product,i am ready to assist you. please,injectable product,injectable product,injectable product,oral product,injectable product,inhalant product,inhalant product,inhalant product,inhalant product,injectable product,inhalant product,inhalant product
IVPCA,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IM,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,[oral product],other,injectable product,injectable product,injectable product,injectable product,injectable product,other,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PR,rectal product,injectable product,injectable product,injectable product,injectable product,other,other,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,[oral product],[oral product],[oral product],[injectable product],injectable product,[oral product],topical product,injectable product,i am ready to assist. please provide,i am ready to assist. please provide,injectable product,i am ready to help. please provide,i am ready to assist. please provide,other,rectal product,rectal product,rectal product,rectal product,injectable product,oral product,injectable product
IH,inhalant product,inhalant product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,inhalant product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,inhalant product,[oral product],[oral product],[injectable product],[injectable product],[oral product],topical product,inhalant product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,inhalant product,inhalant product,inhalant product,inhalant product,injectable product,inhalant product,inhalant product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IM,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,[oral product],other,injectable product,injectable product,injectable product,injectable product,injectable product,other,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"> ""oral product""","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
PO/NG,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IM,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,[oral product],other,injectable product,injectable product,injectable product,injectable product,injectable product,other,other,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
